X,F,Y,R,Err
-3.000000,9.000000,-6.000000,-6.000000,0.000002
-2.000000,4.000000,-4.000000,-4.000000,0.000001
-1.000000,1.000000,-2.000000,-2.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1.000000,2.000000,2.000000,0.000000
2.000000,4.000000,4.000000,4.000000,0.000001
3.000000,9.000000,6.000000,6.000000,0.000002
4.000000,16.000000,8.000000,8.000000,0.000003
5.000000,25.000000,10.000001,10.000000,0.000006
6.000000,36.000000,12.000001,12.000000,0.000008
7.000000,49.000000,14.000002,14.000000,0.000011
8.000000,64.000000,16.000002,16.000000,0.000012
9.000000,81.000000,18.000001,18.000000,0.000014
10.000000,100.000000,20.000002,20.000000,0.000018
11.000000,121.000000,22.000002,22.000000,0.000021
12.000000,144.000000,24.000002,24.000000,0.000026
13.000000,169.000000,26.000004,26.000000,0.000032
14.000000,196.000000,28.000002,28.000000,0.000035
15.000000,225.000000,30.000001,30.000000,0.000042
16.000000,256.000000,32.000003,32.000000,0.000045
17.000000,289.000000,34.000004,34.000000,0.000051
18.000000,324.000000,36.000007,36.000000,0.000061
19.000000,361.000000,38.000009,38.000000,0.000072
20.000000,400.000000,40.000003,40.000000,0.000071
21.000000,441.000000,41.999997,42.000000,0.000086
22.000000,484.000000,44.000000,44.000000,0.000090
23.000000,529.000000,46.000018,46.000000,0.000109
24.000000,576.000000,48.000004,48.000000,0.000102
25.000000,625.000000,49.999990,50.000000,0.000126
26.000000,676.000000,51.999992,52.000000,0.000135
27.000000,729.000000,53.999994,54.000000,0.000145
28.000000,784.000000,55.999997,56.000000,0.000147
29.000000,841.000000,58.000001,58.000000,0.000149
30.000000,900.000000,60.000002,60.000000,0.000160
31.000000,961.000000,62.000004,62.000000,0.000171
32.000000,1024.000000,63.999975,64.000000,0.000212
33.000000,1089.000000,65.999916,66.000000,0.000284
34.000000,1156.000000,67.999948,68.000000,0.000266
35.000000,1225.000000,69.999919,70.000000,0.000309
36.000000,1296.000000,71.999951,72.000000,0.000291
37.000000,1369.000000,73.999922,74.000000,0.000334
38.000000,1444.000000,75.999954,76.000000,0.000317
39.000000,1521.000000,77.999925,78.000000,0.000361
40.000000,1600.000000,79.999931,80.000000,0.000360
41.000000,1681.000000,81.999936,82.000000,0.000359
42.000000,1764.000000,83.999907,84.000000,0.000404
43.000000,1849.000000,85.999939,86.000000,0.000389
44.000000,1936.000000,87.999911,88.000000,0.000435
45.000000,2025.000000,89.999943,90.000000,0.000420
46.000000,2116.000000,91.999906,92.000000,0.000497
47.000000,2209.000000,93.999885,94.000000,0.000514
48.000000,2304.000000,95.999917,96.000000,0.000500
49.000000,2401.000000,97.999949,98.000000,0.000487
50.000000,2500.000000,99.999928,100.000000,0.000505
51.000000,2601.000000,101.999891,102.000000,0.000583
52.000000,2704.000000,103.999870,104.000000,0.000602
53.000000,2809.000000,105.999955,106.000000,0.000560
54.000000,2916.000000,107.999934,108.000000,0.000579
55.000000,3025.000000,109.999898,110.000000,0.000659
56.000000,3136.000000,111.999877,112.000000,0.000678
57.000000,3249.000000,113.999840,114.000000,0.000759
58.000000,3364.000000,115.999940,116.000000,0.000658
59.000000,3481.000000,117.999904,118.000000,0.000740
60.000000,3600.000000,119.999883,120.000000,0.000761
61.000000,3721.000000,121.999847,122.000000,0.000843
62.000000,3844.000000,123.999947,124.000000,0.000743
63.000000,3969.000000,125.999910,126.000000,0.000826
64.000000,4096.000000,128.000026,128.000000,0.000788
65.000000,4225.000000,130.000141,130.000000,0.000993
66.000000,4356.000000,132.000120,132.000000,0.001016
67.000000,4489.000000,134.000068,134.000000,0.000919
68.000000,4624.000000,136.000169,136.000000,0.001064
69.000000,4761.000000,138.000269,138.000000,0.001210
70.000000,4900.000000,140.000247,140.000000,0.001234
71.000000,5041.000000,142.000196,142.000000,0.001138
72.000000,5184.000000,144.000175,144.000000,0.001163
73.000000,5329.000000,146.000154,146.000000,0.001189
74.000000,5476.000000,148.000133,148.000000,0.001215
75.000000,5625.000000,150.000111,150.000000,0.001242
76.000000,5776.000000,152.000181,152.000000,0.001269
77.000000,5929.000000,154.000281,154.000000,0.001417
78.000000,6084.000000,156.000260,156.000000,0.001445
79.000000,6241.000000,158.000239,158.000000,0.001472
80.000000,6400.000000,160.000203,160.000000,0.001440
81.000000,6561.000000,162.000166,162.000000,0.001408
82.000000,6724.000000,164.000145,164.000000,0.001437
83.000000,6889.000000,166.000124,166.000000,0.001466
84.000000,7056.000000,168.000224,168.000000,0.001617
85.000000,7225.000000,170.000294,170.000000,0.001647
86.000000,7396.000000,172.000273,172.000000,0.001678
87.000000,7569.000000,174.000252,174.000000,0.001708
